car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,lprice,lenginesize,lcompressionratio,lpeakrpm
1,3,alfa-romero giulia,1,std,two,convertible,rwd,1,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,9.510074525,4.86753445,2.197224577,8.517193191
2,3,alfa-romero stelvio,1,std,two,convertible,rwd,1,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,9.71111566,4.86753445,2.197224577,8.517193191
3,1,alfa-romero Quadrifoglio,1,std,two,hatchback,rwd,1,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,9.71111566,5.023880521,2.197224577,8.517193191
4,2,audi 100 ls,1,std,four,sedan,fwd,1,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.543234787,4.691347882,2.302585093,8.612503371
5,2,audi 100ls,1,std,four,sedan,4wd,1,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,9.767094928,4.912654886,2.079441542,8.612503371
6,2,audi fox,1,std,two,sedan,fwd,1,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,9.632334782,4.912654886,2.140066163,8.612503371
7,1,audi 100ls,1,std,four,sedan,fwd,1,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,9.781884731,4.912654886,2.140066163,8.612503371
8,1,audi 5000,1,std,four,wagon,fwd,1,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,9.847974843,4.912654886,2.140066163,8.612503371
9,1,audi 4000,1,turbo,four,sedan,fwd,1,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,10.08058717,4.875197323,2.116255515,8.612503371
10,0,audi 5000s (diesel),1,turbo,two,hatchback,4wd,1,99.5,178.2,67.9,52,3053,ohc,five,131,mpfi,3.13,3.4,7,160,5500,16,22,17859.167,9.790272213,4.875197323,1.945910149,8.612503371
